aliases,avg_confidence,confidence_values,evidence_texts,fusion_status,id,label,mention_count,name,needs_review,normalized_name,rationales,source_cases,source_entity_ids,source_span_ids,vote_summaries
"['隐患排查整改不落实', '隐患排查治理', '隐患排查治理不到位', '隐患排查不到位']",0.0,[],"['隐患排查整改不落实，埋下事故隐患', '在事故前一日为暴雨天气的情况下，对可能存在的地质灾害风险估计不足，仍安排施工作业。', '现场未组织开展隐患排查，未发现倒三角体垮塌的安全隐患']",canonical,SafetyManagementDefect:canonical:1eecc6cddb6e65cd864b02d673b33cab,SafetyManagementDefect,3,隐患排查治理,False,隐患排查治理,"['施工单位G未落实隐患排查整改，埋下事故隐患，导致事故发生。', '原文明确指出对地质灾害风险估计不足，属于隐患排查治理不到位的范畴。', '原文明确指出未组织隐患排查，未发现倒三角体垮塌的安全隐患，符合隐患排查治理不到位的定义。']","['HCA-b9630e82d7', 'HCA-a06a163caa', 'HCA-b390c7f19e']","['SafetyManagementDefect:d5237e2a19f99bd10a5241cc698e23ab', 'SafetyManagementDefect:997b78ad55ee1a0fb4f22a5efa5d3ee4', 'SafetyManagementDefect:67f886db29e7f109eea1c995842396d9']",['案例001_事故原因_间接原因'],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
['抢工程进度'],,[],['仅是抢工程进度，导致事故发生'],canonical,SafetyCultureDefect:canonical:e80b4bab42cad877ee4b94454e1f4afd,SafetyCultureDefect,,抢工程进度,False,抢工程进度,['施工单位G重进度轻安全，忽视隐患排查，导致事故发生。'],['HCA-b9630e82d7'],['SafetyCultureDefect:e80b4bab42cad877ee4b94454e1f4afd'],['案例001_事故原因_间接原因'],[]
"['现场监督检查不力', '现场安全监督不足', '现场安全监管不力', '现场安全监督管理不足', '现场安全监督不力', '现场安全管理不足', '现场安全管理不完善', '现场安全管理不严', '现场安全监护工作不足', '现场安全管理人员履职不足', '现场安全检查和监督不足']",0.0,[],"['施工单位G专职安全管理人员在施工现场监督检查不力', '工作面现场安全监管不力、施工单位B安全制度执行不到位', '加强现场安全监督管理，坚决杜绝违章作业。', '施工单位B现场安全监督不力，未能及时发现和消除安全隐患', '现场安全管理为事故留下安全隐患', '现场安全管理不严', '认真做好危险作业现场安全监护工作', '对危险场所的检查，机械设备的维护保养要有专人负责和检查维护制度', '加强施工现场的安全检查和监督，发现有违反施工程序和违章作业者，要坚决予以制止和纠正。']",canonical,SafetyManagementDefect:canonical:4838ac413ac433566b49107ce1f1edf2,SafetyManagementDefect,10,现场安全监督不足,False,现场安全监督不足,"['施工单位G专职安全管理人员未有效监督现场，未及时发现隐患。', '原文明确指出现场安全监管不力，且施工单位安全制度执行存在漏洞，符合监督检查不到位的定义。', '现场安全监督管理不到位，未能及时发现和纠正违章作业行为。', '原文明确指出现场安全监督不力，未及时发现和消除隐患，符合监督检查不到位的定义。', '原文明确指出现场安全管理存在不足，且未及时发现和纠正钢丝绳长度不足等问题，属于监督检查不到位。', '事故调查明确指出现场安全管理存在缺陷，未落实安全责任，导致隐患未被及时排除。', '原文明确指出现场安全管理不严，属于监督检查不到位的范畴。', '改进措施明确提到需加强危险作业现场安全监护，表明事故与现场监督检查不到位有关。', '事故改进措施明确指出现场安全管理人员未落实检查维护职责，导致钢丝绳磨损未及时发现和更换。', '预防措施明确提到需要加强施工现场的安全检查和监督，表明事故与监督检查不到位有关。']","['HCA-b9630e82d7', 'HCA-6111bf87d6', 'HCA-0a00afd65d', 'HCA-169513fdbf', 'HCA-c38b17cddf', 'HCA-f7635ef090', 'HCA-69f7c2f6d6', 'HCA-282264331c', 'HCA-78b0f3f3bd']","['SafetyManagementDefect:da6ade8cc667877da2db47a4ec62438f', 'SafetyManagementDefect:cdb8590312c6f7164e106c418cad15ef', 'SafetyManagementDefect:17d9fc462f4a4cc35dc34f7324d35287', 'SafetyManagementDefect:51306271f9365480bdb0bb4d574260f5', 'SafetyManagementDefect:8add58684fecd7ce7695473f121200e0', 'SafetyManagementDefect:da796ee584ee3cb8d1481dd30e5628a5', 'SafetyManagementDefect:0d2b481d0cdde676da206188dae0abb2', 'SafetyManagementDefect:7dba6020216707dbe0148f4e68aaa441', 'SafetyManagementDefect:4bd62dae0e5e8516264420562735cd35', 'SafetyManagementDefect:dfbdae983b6546585dca6be40879b952']","['案例001_事故原因_间接原因', '事故预防措施-4']","['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
"['施工人员安全意识不强', '施工人员安全意识淡薄']",0.0,[],"['施工人员安全意识不强，警惕性不高', '郑与其他2名施工人员意识淡薄，没有到指定出口进行避炮']",canonical,SafetyCapabilityDefect:canonical:8a3ab4e2c45b903d2b136f14582addca,SafetyCapabilityDefect,2,施工人员安全意识不强,False,施工人员安全意识不强,"['施工人员安全意识不强，警惕性不高，未能有效避免事故。', '施工人员安全意识不足，未能正确避炮，导致事故发生。']","['HCA-b9630e82d7', 'HCA-77ebc26c44']","['SafetyCapabilityDefect:8a3ab4e2c45b903d2b136f14582addca', 'SafetyCapabilityDefect:a9a267f734d342499d310f5968724401']","['案例001_事故原因_间接原因', '案例006_事故原因分析_1']",[]
['监理单位未严格履职尽责'],,[],['监理单位未严格履职尽责'],canonical,SafetyManagementDefect:canonical:88c20b58d09b47c6c78cea4c560ad6af,SafetyManagementDefect,,监理单位未严格履职尽责,False,监理单位未严格履职尽责,['监理单位未严格履行职责，未对施工质量和安全隐患进行有效监督，导致事故发生。'],['HCA-b9630e82d7'],['SafetyManagementDefect:88c20b58d09b47c6c78cea4c560ad6af'],['案例001_事故原因_间接原因'],[]
['未参建工伤社会保险'],,[],['施工单位E施工单位F未给员工做职业健康体检、未参建工伤社会保险'],canonical,SafetyManagementDefect:canonical:b4033b83a8eec07cf9d845328e5e003e,SafetyManagementDefect,,未参建工伤社会保险,False,未参建工伤社会保险,['施工单位E和F未为员工参建工伤社会保险，未能提供必要的职业健康保障。'],['HCA-b9630e82d7'],['SafetyManagementDefect:b4033b83a8eec07cf9d845328e5e003e'],['案例001_事故原因_间接原因'],[]
['未给员工做职业健康体检'],,[],['施工单位E施工单位F未给员工做职业健康体检'],canonical,SafetyManagementDefect:canonical:6c5eed2714503e97ef2995f645cbeaaa,SafetyManagementDefect,,未给员工做职业健康体检,False,未给员工做职业健康体检,['施工单位E和F未为员工进行职业健康体检，忽视员工健康管理。'],['HCA-b9630e82d7'],['SafetyManagementDefect:6c5eed2714503e97ef2995f645cbeaaa'],['案例001_事故原因_间接原因'],[]
['监理单位隐患整改通知被忽视'],,[],['监理单位曾先后三次下发隐患整改通知，施工单位G置若罔闻'],canonical,SafetyManagementDefect:canonical:083dd00ef775f3686889fb8f42a9833d,SafetyManagementDefect,,监理单位隐患整改通知被忽视,False,监理单位隐患整改通知被忽视,['监理单位曾多次下发隐患整改通知，但施工单位G未予以重视，导致隐患未消除。'],['HCA-b9630e82d7'],['SafetyManagementDefect:083dd00ef775f3686889fb8f42a9833d'],['案例001_事故原因_间接原因'],[]
['抢救无效死亡'],,[],['作业人员A于事发当天抢救无效死亡'],canonical,Consequence:canonical:370368d89cf6849edae23f25923f500e,Consequence,,抢救无效死亡,False,抢救无效死亡,['事故导致作业人员A抢救无效死亡。'],['HCA-b9630e82d7'],['Consequence:370368d89cf6849edae23f25923f500e'],['案例001_事故经过'],[]
"['作业人员B受轻伤', '作业人员C受重伤']",0.0,[],"['作业人员B受轻伤', '电杆作业人员C的右大腿上，一根横担压在其腹部，另一根横担从其小腿肚上擦过，后脑摔在地面上的石块上，流血不止，在场人员急速将其送往县人民医院抢救，因肾挫伤、脾破裂、右肺破裂、右股骨骨折等多处伤害。']",canonical,Consequence:canonical:9eeac78c1334f34a277096514043d06b,Consequence,2,作业人员B受轻伤,False,作业人员B受轻伤,"['事故导致作业人员B受轻伤。', '作业人员C因事故导致多处重伤，包括肾挫伤、脾破裂、右肺破裂、右股骨骨折等。']","['HCA-b9630e82d7', 'HCA-b1d5f5f79b']","['Consequence:9eeac78c1334f34a277096514043d06b', 'Consequence:f31bc3540885a25ece14f26795e1751e']","['案例001_事故经过', '案例32']",[]
['安全检查不深不细'],,[],['安全检查不深不细'],canonical,SafetyManagementDefect:canonical:e652a0e13fd9e9bb2b8242d0719b04e4,SafetyManagementDefect,,安全检查不深不细,False,安全检查不深不细,['安全检查工作不深入、不细致，未能及时发现和消除隐患。'],['HCA-b9630e82d7'],['SafetyManagementDefect:e652a0e13fd9e9bb2b8242d0719b04e4'],['案例001_事故原因_间接原因'],[]
['未严格执行安全生产责任制度'],,[],['落实安全生产责任制度'],canonical,SafetyManagementDefect:canonical:f1b1b2959fdb0804fa87e5ad4a6d96cb,SafetyManagementDefect,,未严格执行安全生产责任制度,False,未严格执行安全生产责任制度,['施工单位未严格执行安全生产责任制度，导致安全管理不到位。'],['HCA-b9630e82d7'],['SafetyManagementDefect:f1b1b2959fdb0804fa87e5ad4a6d96cb'],['案例001_事故防范措施'],[]
['未严格按照相关标准执行'],,[],['并严格按照相关标准执行'],canonical,SafetyManagementDefect:canonical:4d61fa765c4c88fa72477a755c0fb206,SafetyManagementDefect,,未严格按照相关标准执行,False,未严格按照相关标准执行,['施工单位未严格按照相关标准执行工程建设，导致安全隐患。'],['HCA-b9630e82d7'],['SafetyManagementDefect:4d61fa765c4c88fa72477a755c0fb206'],['案例001_事故防范措施'],[]
['挡墙整体稳定性差'],,[],['河堤挡墙未能充分考虑地质条件，根基处理不到位，注浆不够饱满，石料个体较小、沉降缝、排水孔布局不合理，回填碾压不充分等原因致使挡墙整体稳定性差而导致坍塌。'],canonical,UnsafeObjectState:canonical:b08f0f485ca9a436c7a3ea1534023800,UnsafeObjectState,,挡墙整体稳定性差,False,挡墙整体稳定性差,['原文明确描述挡墙稳定性差是导致坍塌的直接原因，属于物的不安全状态。'],['HCA-b9630e82d7'],['UnsafeObjectState:b08f0f485ca9a436c7a3ea1534023800'],[],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
"['安全培训流于形式', '安全培训不足', '安全教育培训不足', '安全教育培训不够', '安全教育不够', '安全教育和培训不足', '安全技术培训不足', '安全教育再培训不足', '安全教育和技术培训不足', '安全教育和技术培训不够', '培训流于形式', '安全生产教育培训不足', '安全技能培训不足', '三级安全教育培训不足', '安全行车教育培训不足', '安全意识培训不足', '安全培训教育力度不足', '安全操作规程教育培训不足', '安全操作规程教育不够']",0.0,[],"['施工单位E施工单位F对工人的安全培训不到位，仅仅限于口头上的教育，无安全培训记录，安全培训流于形式，未达到培训的目的。', '认真落实对从业人员的安全教育培训和安全技术交底', '安全教育培训不够，施工人员缺乏安全操作技术和技能，缺乏对排架平台安全使用的基本知识。', '对临时工，农民工的安全管理和安全教育不够', '教育职工严格执行安全操作规程和安全规章制度，提高职工安全意识和自我保护能力。', '加强对职工的安全教育和培训，提高职工的自我保护能力', '加强职工的安全意识和安全技术培训，提高全员安全素质', '现场指挥人员、操作人员缺乏经验', '安全教育和技术培训不够，人员安全素质较差。', '安全教育和技术培训不够', '梁缺乏起重的安全基本知识', '施工单位要认真汲取此次事故教训，切实加强安全管理，重点抓好：一是强化从业人员的安全生产教育培训工作', '黄长期从事挖掘机操作，虽有装载机操作证，但技术不熟练，经验不足', '严格做好劳务人员上岗前的三级安全教育培训工作', '加强对出碴车司机的安全行车教育培训，提高其操作水平', '作业人员安全意识淡薄，自我保护能力差', '加大安全培训教育力度', '加强对设备运转操作人员的安全操作规程教育培训工作', '对职工的安全培训及安全操作规程教育不够']",canonical,SafetyManagementDefect:canonical:ad2db066ffd6bc68866318b55589a84c,SafetyManagementDefect,19,安全培训不足,False,安全培训不足,"['原文明确指出安全培训流于形式，未达到培训目的，符合判定定义中安全教育培训不足的标准。', '事故防范措施明确提出需加强安全教育培训和技术交底，表明事故原因与此存在关联。', '事故原因明确指出安全教育培训不足导致施工人员缺乏必要的安全知识和技能，直接影响排架平台的安全使用。', '原文明确指出对临时工、农民工的安全教育不够，符合安全教育培训不足的定义。', '事故预防措施明确提到需通过教育提高安全意识，表明此前培训可能不足以防止违章行为。', '事故预防措施明确提到需要加强安全教育和培训，表明此前存在不足。', '事故预防措施明确提出需加强安全技术培训，表明现有培训不足可能是事故间接原因之一。', '原文明确指出现场人员缺乏经验，结合防范措施中提到的安全教育再培训，表明安全培训不足是事故原因之一。', '施工单位未对人员进行充分的安全教育和技术培训，导致人员安全素质较差。', '原文明确指出安全教育和技术培训不够，导致人员安全素质较差，属于安全教育培训不足。', '原文明确指出作业人员缺乏起重安全基本知识，表明培训未能有效传递必要的安全知识，属于培训流于形式。', '事故防范措施明确提到需要强化安全生产教育培训，表明此前培训工作存在不足。', '原文明确指出驾驶员技术不熟练和经验不足，表明安全技能培训未能有效提升其操作能力。', '事故防范措施明确提到需加强三级安全教育培训，表明此前存在不足。', '改进措施明确提出加强司机安全行车教育培训，表明事故原因与培训不足相关。', '原文明确提到作业人员安全意识淡薄和自我保护能力差，表明安全教育和培训不足。', '改进措施明确提出需加大安全培训教育力度，表明事故原因与培训不足相关。', '改进措施明确提出需加强安全操作规程教育培训，表明事故原因与培训不足相关。', '原文明确指出安全培训及操作规程教育不足，属于安全教育培训不足的范畴。']","['HCA-b9630e82d7', 'HCA-bc89893adf', 'HCA-b4afc69b2d', 'HCA-cc01ff7f61', 'HCA-e255ed70fb', 'HCA-b1e883ff83', 'HCA-7def80e3ad', 'HCA-f3b4d513d3', 'HCA-b6aa34abf5', 'HCA-684d2aa819', 'HCA-5f921f3c0b', 'HCA-bf36b6963b', 'HCA-c38b17cddf', 'HCA-96f044a6d6', 'HCA-ee3ef72e8d', 'HCA-e9280ea9b4', 'HCA-188ca8d61b', 'HCA-4022823faa']","['SafetyManagementDefect:f1f438f4986a492fb7be76b4c97c2931', 'SafetyManagementDefect:3caa51902289629e6f9360858210085a', 'SafetyManagementDefect:5b3b6f82e04077cc9a29b70aad57bf7d', 'SafetyManagementDefect:2291c6f9a5526f7a70b6a736b26a7f0e', 'SafetyManagementDefect:ad2db066ffd6bc68866318b55589a84c', 'SafetyManagementDefect:1ff323e7cf5efd7765261acbfb39bf09', 'SafetyManagementDefect:aa16fe67dc923b4b0f9e7e87d1082ee5', 'SafetyManagementDefect:0d707468d9e2d7c66766695096dcdc3b', 'SafetyManagementDefect:a307d16f429c59ce4e2257c672c14885', 'SafetyManagementDefect:a4702b89638b14960ff975b6f52abbba', 'SafetyManagementDefect:9adebe6158b7b4da00bb9c932ad76644', 'SafetyManagementDefect:dbf3c56ede5d591174090bb6f156d8a4', 'SafetyManagementDefect:cbdba418117493095daa5a5a8026c133', 'SafetyManagementDefect:e9638ef202c8abb20b3708734dc28340', 'SafetyManagementDefect:90fad6a8b28d5718eba248bb1144f157', 'SafetyManagementDefect:d057ba4904759811847d64839a03e3fa', 'SafetyManagementDefect:5e3db3c4bd1f359404281c5e70cec09c', 'SafetyManagementDefect:c542cfee8d12d1952cff188235719ded', 'SafetyManagementDefect:03b436ecd7fd67b56c0c41cd2cb959e9']",['事故原因段落'],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
['未充分考虑地质条件'],,[],['河堤挡墙未能充分考虑地质条件'],canonical,SafetyManagementDefect:canonical:ee873855eefbcf5eab7fca5c7b1d3638,SafetyManagementDefect,,未充分考虑地质条件,False,未充分考虑地质条件,['原文明确指出挡墙未充分考虑地质条件，属于专项施工方案或技术措施的缺陷。'],['HCA-b9630e82d7'],['SafetyManagementDefect:ee873855eefbcf5eab7fca5c7b1d3638'],[],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
"['施工现场监督检查不力', '施工现场检查不力', '施工现场安全检查不力', '施工现场不安全隐患检查不足']",0.0,[],"['施工单位G专职安全管理人员在施工现场监督检查不力', '二分局制冷厂班长刘在带领工人进行施工前，对施工现场检查不力', '二处二队领导和专职安全员未能及时发现和排除事故隐患，对施工现场安全检查不力。', '加强对施工现场的不安全隐患检查，防止各类事故发生']",canonical,SafetyManagementDefect:canonical:7bc6fbe02ea8020bb70e024752a62900,SafetyManagementDefect,4,施工现场监督检查不力,True,施工现场监督检查不力,"['原文明确指出施工单位G专职安全管理人员在施工现场监督检查不力，符合监督检查不到位的定义。', '施工班长未对施工现场进行充分检查，导致隐患未被及时发现。', '施工现场安全检查不力，未能及时发现和排除事故隐患。', '事故预防措施明确提到需加强施工现场不安全隐患检查，表明监督检查存在不足。']","['HCA-b9630e82d7', 'HCA-9f41c3fd11', 'HCA-bdd9bb87c8', 'HCA-0ec2c09bcd']","['SafetyManagementDefect:7bc6fbe02ea8020bb70e024752a62900', 'SafetyManagementDefect:ded7a39a0ab6e32d1eeee03bba1faf52', 'SafetyManagementDefect:cf69b7a232065f2768f7f7ba92ac567b', 'SafetyManagementDefect:1d91e83f6caa85c29045d7eff9f71c98']","['事故原因2', '案例032']","['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
['重进度轻安全'],,[],['施工单位G置若罔闻，隐患排查整改不落实，仅是抢工程进度，导致事故发生。'],canonical,SafetyCultureDefect:canonical:caec86b967cea041925bfc50b7a34b92,SafetyCultureDefect,,重进度轻安全,False,重进度轻安全,['原文明确提到施工单位G因抢工程进度而忽视隐患整改，表明存在重进度轻安全的组织价值取向。'],['HCA-b9630e82d7'],['SafetyCultureDefect:caec86b967cea041925bfc50b7a34b92'],[],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
['安全投入不足'],,[],['施工单位E施工单位F安全管理不到位，对安全重视不够，未及时消除综合加工厂河堤挡墙技术不达标带来的生产安全隐患。'],canonical,SafetyCultureDefect:canonical:c71c347d353c9b32636c5aab02b9ce0d,SafetyCultureDefect,,安全投入不足,False,安全投入不足,['原文明确提到施工单位对安全重视不够，未及时消除隐患，表明存在深层次的组织价值取向问题，符合安全投入不足的判定标准。'],['HCA-b9630e82d7'],['SafetyCultureDefect:c71c347d353c9b32636c5aab02b9ce0d'],[],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
"['安全责任意识淡薄', '安全意识淡薄']",0.0,[],"['施工单位E施工单位F安全管理不到位，对安全重视不够，未及时消除综合加工厂河堤挡墙技术不达标带来的生产安全隐患。', '现场人员安全意识淡薄，发现险情后未第一时间终止作业']",canonical,SafetyCultureDefect:canonical:b3f986e4276c4597c5878b3e3ecc6b13,SafetyCultureDefect,2,安全责任意识淡薄,False,安全责任意识淡薄,"['原文明确指出施工单位对安全重视不够，未及时消除隐患，表明存在安全责任意识淡薄的文化取向。', '现场人员安全意识不足，未能及时终止作业或采取有效措施，导致事故发生。']","['HCA-b9630e82d7', 'HCA-f3b4d513d3']","['SafetyCultureDefect:b3f986e4276c4597c5878b3e3ecc6b13', 'SafetyCultureDefect:83f5eacbe1519ffe05fe2b236d669565']",['事故原因'],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
['挡墙坍塌导致人员坠落'],,[],['钢筋加工区域临河侧浆砌石挡墙突然发生坍塌，其中正在进行桁架基础混凝土作业的2名作业人员A、作业人员B随同坍塌挡墙一同掉落。'],canonical,AccidentProcess:canonical:65b8e28a708482793653ac9a4f572348,AccidentProcess,,挡墙坍塌导致人员坠落,False,挡墙坍塌导致人员坠落,['原文清晰描述了挡墙坍塌直接导致人员坠落的事故过程。'],['HCA-b9630e82d7'],['AccidentProcess:65b8e28a708482793653ac9a4f572348'],[],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
"['落实安全生产责任制度', '落实安全生产责任制']",0.0,[],"['落实安全生产责任制度，加强工程建设质量管理等工作，并严格按照相关标准执行。', '切实落实安全生产责任制，强化安全生产保证体系。']",canonical,PreventiveMeasure:canonical:8c0ad0e9d1ff611930a03e2f0a264d59,PreventiveMeasure,2,落实安全生产责任制度,False,落实安全生产责任制度,"['原文明确提出了落实安全生产责任制度和加强工程质量管理作为防控措施，符合定义。', '原文明确提出落实安全生产责任制和强化安全生产保证体系作为预防措施，符合防控措施定义。']","['HCA-b9630e82d7', 'HCA-56f3bfa350']","['PreventiveMeasure:8c0ad0e9d1ff611930a03e2f0a264d59', 'PreventiveMeasure:b7885e8a6f1062102565b1dc70ebdffd']",[],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
"['上水库左坝肩岩体滑塌致人生伤亡事故', '上水库左坝肩岩体滑塌致人生伤亡']",,[],[],canonical,AccidentCase:canonical:1daa873d1f86e67168ec2015a425b66a,AccidentCase,,上水库左坝肩岩体滑塌致人生伤亡事故,False,上水库左坝肩岩体滑塌致人生伤亡事故,[],['HCA-a06a163caa'],['AccidentCase:HCA-a06a163caa'],[],[]
"['岩体滑塌', '岩体垮塌']",0.0,[],"['上水库左坝肩趾板上部边坡两组不利结构面切割形成的楔形岩体发生滑塌', '已支护完毕的拱顶突然发生大面积垮塌']",canonical,AccidentType:canonical:4ff6ab8b752d061d91b24202297aca55,AccidentType,2,岩体滑塌,False,岩体滑塌,"['岩体滑塌是事故的主要类型，直接导致人员伤亡和经济损失。', '事故类型为岩体垮塌，直接导致人员伤亡。']","['HCA-a06a163caa', 'HCA-b5aa122bb6']","['AccidentType:4ff6ab8b752d061d91b24202297aca55', 'AccidentType:599c3e432c92b330fbef4e2ee473b81c']","['案例002', '案例05']",[]
"['边坡稳定性差', '边坡稳定性不足']",0.0,[],"['某水库河谷两岸边坡陡峻，裂隙填充物为碎屑岩、泥岩，岩体稳定性较差', '滑坡地段地质结构状况差；进入5月以来，大多为少晴多雨天气，大量积水灌入高边坡土层和岩层之中，导致岩层中泥土发生膨胀使外层岩石移位，使移位后的外层岩石稳定性不够而发生滑坡。']",canonical,UnsafeObjectState:canonical:6b196aebd5de69cfa431a4308157cba8,UnsafeObjectState,2,边坡稳定性差,False,边坡稳定性差,"['边坡岩体稳定性较差是事故发生的直接原因之一。', '事故文本明确指出边坡地段地质结构状况差及连续降雨导致边坡稳定性不足，直接引发滑坡事故。']","['HCA-a06a163caa', 'HCA-51430a2421']","['UnsafeObjectState:6b196aebd5de69cfa431a4308157cba8', 'UnsafeObjectState:56aa6d8ab3d47abcc6bed9c43ee130ef']",['事故原因1'],"['{""vote_count"": 3, ""yes"": 3, ""no"": 0, ""margin"": 3, ""min_vote_margin"": 1}']"
['连续降雨'],,[],['事故前一日（6月19日）20小时连续降雨58mm'],canonical,EnvironmentCondition:canonical:fae3456e55a961bae9a4f030cca847cf,EnvironmentCondition,,连续降雨,False,连续降雨,['连续降雨导致岩体裂隙渗水，摩擦阻力降低，诱发滑塌。'],['HCA-a06a163caa'],['EnvironmentCondition:fae3456e55a961bae9a4f030cca847cf'],['事故原因1'],[]
